,title,character,dialogue
56,Avatar,JAKE,You guys're packing some heavy ordinance.
57,Avatar,JAKE,"Yeah, no problem."
58,Avatar,JAKE,I figured -- just another hellhole.
59,Avatar,JAKE,"That sounds real good, Colonel. So -- am I still with Augustine?"
60,Avatar,GRACE,Start calibrating. We're on the flight line in ten minutes.
61,Avatar,GRACE,What did Atilla want?
62,Avatar,JAKE,Just Marines comparin' tattoos.
63,Avatar,GRACE,"Yeah. Well, listen to me, Marine --"
64,Avatar,GRACE,"-- you're driving an avatar, now. That means you're in my world, got it?"
65,Avatar,JAKE,Got it.
66,Avatar,GRACE,"That son of a bitch has screwed up this program enough. All this -- -- exists so we can go out there and build a bridge of trust to these people, who could teach us so much. But thanks to Quaritch and his thugs the Na'vi won't even talk to us anymore."
67,Avatar,JAKE,Then how's this supposed to work?
68,Avatar,GRACE,"We have a new face. You're fluent, you've studied the culture. You're non-threatening. The ones we know best -- the Omaticaya clan -- may give you a chance. Maybe you can get them back to the table before things go tits-up for good."
69,Avatar,JAKE,How do we contact them?
70,Avatar,GRACE,"We don't. They contact us. If they see us taking our samples, treating the forest with respect -- Not trampling everything in sight -- they may reach out to us."
71,Avatar,JAKE,Or they may skin us and make a drum.
72,Avatar,GRACE,Just keep your mouth shut and let Norm do the talking.
73,Avatar,GRACE,"Looks like a bull, six cows and some juveniles."
74,Avatar,GRACE,Stay with the ship. One idiot with a gun's enough.
75,Avatar,GRACE,"Relax, Marine. You're making me nervous."
76,Avatar,GRACE,I'm sure they're watching us right now.
77,Avatar,GRACE,"The kids were so bright, so eager to learn... they picked up English faster than I could teach it to them."
78,Avatar,GRACE,"Bring the soil probe -- right there, yellow case."
79,Avatar,GRACE,The stingbats knock them off. I guess I always hope somebody will come back and read them.
80,Avatar,GRACE,The Na'vi learned as much about us as they needed to know.
81,Avatar,JAKE,What happened here?
82,Avatar,GRACE,Are you going to help with this gear? We've got a lot to do.
83,Avatar,GRACE,"See, right here where the roots of the two trees interact."
84,Avatar,GRACE,Don't shoot. You'll piss it off.
85,Avatar,JAKE,It's already pissed off!
86,Avatar,GRACE,"Jake, that armor's too thick. Trust me."
87,Avatar,GRACE,"It's a territorial threat display. Do not run, or he'll charge."
88,Avatar,JAKE,What do I do?
89,Avatar,GRACE,Hold your ground!
90,Avatar,JAKE,Oh yeah! Who's bad?! That's right.
91,Avatar,JAKE,"That's what I'm talkin' about, bitch!"
92,Avatar,JAKE,That's right motherf--
93,Avatar,JAKE,"What about this one? Run, don't run? What?"
94,Avatar,GRACE,Run. Definitely RUN!
95,Avatar,GRACE,Shit.
96,Avatar,GRACE,He's not going to make it till morning.
97,Avatar,JAKE,I don't have all goddamn night! Come on! Come on!
98,Avatar,JAKE,"Wait, don't --"
99,Avatar,JAKE,"Look, um, I know you probably don't understand this. But -- thanks. Thank you. I owe you."
100,Avatar,JAKE,I would have been screwed if you hadn't come along --
101,Avatar,JAKE,"Hey, wait. Wait! Where you goin'?"
102,Avatar,JAKE,Slow down a second will you. I just want to thank you for killing those --
103,Avatar,JAKE,"Okay, I'm sorry. Whatever I did -- I'm sorry."
104,Avatar,JAKE,They attacked me. How'm I the bad guy HERE--
105,Avatar,JAKE,"Okay, fine, you love your little forest friends. So why not just let them kill my ass? What's the thinking?"
106,Avatar,JAKE,"Yes, why save me?"
107,Avatar,JAKE,"If I'm so ignorant, maybe you should teach me."
108,Avatar,JAKE,Whooaa.
109,Avatar,JAKE,"Then teach me to ""see."""
110,Avatar,JAKE,"Hey, slow down. Look, I think we just got off on the wrong foot and --"
111,Avatar,JAKE,--you just have to get to know me. I'm Jake. Jake Sull--
112,Avatar,JAKE,Whooaaa -- shit!
113,Avatar,JAKE,I need your help.
114,Avatar,JAKE,So take me with you.
115,Avatar,JAKE,What?
116,Avatar,JAKE,What are they?
117,Avatar,JAKE,What was that all about?
118,Avatar,JAKE,What's your name?
119,Avatar,JAKE,What's going on?
120,Avatar,JAKE,"Your father!? Uh, good to meet you, sir."
121,Avatar,JAKE,Who's Eywa?
122,Avatar,JAKE,Jake Sully.
123,Avatar,JAKE,I came to learn.
124,Avatar,JAKE,"My cup is empty, trust me. Just ask Doctor Augustine. I'm no scientist."
125,Avatar,JAKE,"I don't know. I was a Marine -- uh, a warrior. Of the Jarhead clan."
126,Avatar,JAKE,What's going on? What are they saying?
127,Avatar,JAKE,"So it's all good, right? You and me --"
128,Avatar,JAKE,Don't get up.
129,Avatar,JAKE,You never told me your name.
130,Avatar,JAKE,"Okay, again, a whole lot slower."
131,Avatar,JAKE,Nay-TEE-ree. That's nice. Nay-TEE-ree.
132,Avatar,JAKE,Your mom likes me. I can tell.
133,Avatar,JAKE,These rock. What are they?
134,Avatar,JAKE,That's some damn fine teylu. That's like grandma's teylu.
135,Avatar,GRACE,"Come on back, kid, that's it."
136,Avatar,JAKE,Wha --? Oh.
137,Avatar,GRACE,"Damn, you were dug in like a tick. Is the avatar safe?"
138,Avatar,JAKE,"Yeah, Doc -- and you are not going to believe where I am. CUT TO:"
139,Avatar,GRACE,-- so the kid's out there one night and he's got the Queen Bitch herself offering him the spare room and the car keys. Unbelievable.
140,Avatar,JAKE,It's not something you can teach.
141,Avatar,GRACE,"For reasons I cannot fathom, the Omaticaya have chosen you. God help us all. CUT TO:"
142,Avatar,JAKE,Yeah. They want to study me. See if I can learn to be one of them.
143,Avatar,JAKE,Does Augustine know about this?
144,Avatar,JAKE,So -- who talks them into moving?
145,Avatar,JAKE,What if they won't go?
146,Avatar,JAKE,I'm on it. CUT TO:
147,Avatar,JAKE,Tsu'tey. Mo'at. Eytukan.
148,Avatar,GRACE,He's the clan leader -- -- but she's the spiritual leader. Like a shaman.
149,Avatar,JAKE,Got it. So who's this Eywa?
150,Avatar,JAKE,Who's got a date with the chief's daughter?
151,Avatar,GRACE,"Knock it off. Jesus, it's like kindergarten around here."
152,Avatar,GRACE,Neytiri was my best student. She and her sister Silwanin. Just amazing girls.
153,Avatar,JAKE,I didn't meet the sister.
154,Avatar,GRACE,"No, she's dead. Okay, let's go -- village life starts early."
155,Avatar,GRACE,Don't do anything unusually stupid.
156,Avatar,JAKE,Forward.
157,Avatar,JAKE,I knew this guy could speak English.
158,Avatar,JAKE,"You've got outer columns, then a secondary ring here, and an inner ring. Then a core structure, it's like a spiral, that's how they move up and down."
159,Avatar,JAKE,Roger that.
160,Avatar,GRACE,I'm not about to let Quaritch and Selfridge micro-manage this thing. We're going up into the mountains.
161,Avatar,GRACE,That's right.
162,Avatar,GRACE,See these magnetic formations. We're getting close.
163,Avatar,GRACE,Yup. We're in the flux vortex.
164,Avatar,JAKE,"Yeah, so what does hold them up? Grace explained it to me -- some kind of maglev effect because unobtanium is a superconductor, or something. At least somebody understands it. Just not me. CUT TO:"
165,Avatar,GRACE,"Jake, take number two, it's the least glitchy. Norm, I need you to operate Jake's link."
166,Avatar,JAKE,Hey. You got a problem?
167,Avatar,GRACE,"It's not our choice, Norm."
168,Avatar,GRACE,He can't go far.
169,Avatar,GRACE,Let's get you in. CUT TO:
170,Avatar,JAKE,Holy shit.
171,Avatar,JAKE,When?
172,Avatar,JAKE,Do I have to do this? I need some rack.
173,Avatar,GRACE,"No -- now, when it's fresh."
174,Avatar,JAKE,"Yeah, yeah. The days are starting to blur together. The language is a bitch, but I figure it's like field-stripping a weapon. Repetition."
175,Avatar,JAKE,Seyri.
176,Avatar,JAKE,"Ontu, mikyun, nari."
177,Avatar,JAKE,Neytiri thinks I'm some kind of retard.
178,Avatar,JAKE,Norm's attitude has improved lately.
179,Avatar,JAKE,Ireiyo.
180,Avatar,JAKE,"It's good he's back on board, but he thinks I'm a retard too."
181,Avatar,JAKE,My feet are getting tougher. I can run farther every day.
182,Avatar,JAKE,I have to trust my body to know what to do. With Neytiri it's learn fast or die.
183,Avatar,JAKE,I sweet-talked Mo'at into giving Norm and Grace a hall pass. Now Grace even makes me coffee before link every morning.
184,Avatar,GRACE,"I See you, Neytiri Mo'at'ite."
185,Avatar,JAKE,"I'm learning to read the trails, the tracks at the water-hole, the tiniest scents and sounds."
186,Avatar,JAKE,Sometimes I have no idea what she's talking about.
187,Avatar,JAKE,It's been a month and I'm still not allowed to make a kill. She says the forest hasn't given permission.
188,Avatar,JAKE,There's a lot of crap like that. She's always going on about the flow of energy-- the spirits of the animals and what not --
189,Avatar,JAKE,I just hope this treehugger shit isn't on the final.
190,Avatar,GRACE,This isn't just about eye-hand coordination out there. You need to listen to what she says. Try to see the forest through their eyes.
191,Avatar,JAKE,"Excuse me -- this is my video-log here, okay?"
192,Avatar,JAKE,"Everything is backwards now. Like out there is the true world, and in here is the dream."
193,Avatar,JAKE,"I See you Brother, and thank you. Your spirit goes with Eywa, your body stays behind to become part of the People."
194,Avatar,GRACE,You're still losing weight. Here --
195,Avatar,JAKE,I made a kill today. We ate it. I know where that meal came from.
196,Avatar,GRACE,Other body. You need to take care of this body.
197,Avatar,JAKE,Yeah yeah.
198,Avatar,GRACE,"Jake, I'm serious -- you look like crap. You're burning too hard."
199,Avatar,JAKE,"Get rid of this shit, then you can lecture me."
200,Avatar,GRACE,"I'm telling you, as your boss and someone who might even consider being a friend someday, to take some down time."
201,Avatar,JAKE,Not now. Tomorrow we leave for Iknimaya.
202,Avatar,GRACE,Yeah -- you're gonna go ride a banshee. Or die trying.
203,Avatar,JAKE,"That's right, Grace. This is what I've been working for."
204,Avatar,GRACE,"And this is your check up from the neck up, Marine. You're getting in way too deep. Trust me, I learned the hard way."
205,Avatar,JAKE,What did happen at the school?
206,Avatar,GRACE,Neytiri's sister -- Sylwanin -- stopped coming to school. She was angry about the clear-cutting.
207,Avatar,GRACE,"One day, she and a couple of other young hunters came running in, all painted up -- they'd set a bulldozer on fire -- I guess they thought I could protect them."
208,Avatar,GRACE,The troopers pursued them to the schoolhouse.
209,Avatar,GRACE,"They killed Sylwanin in the doorway. Right in front of Neytiri. Then shot the others. I got most of the kids out, before they shot me."
210,Avatar,JAKE,Jesus.
211,Avatar,GRACE,Yeah.
212,Avatar,GRACE,A scientist stays objective -- we can not be ruled by emotion. But I poured ten years of my life into that school. They called me sa'atenuk. Mother. That kind of pain reaches back through the link.
213,Avatar,GRACE,It's a job. Learn what you can -- but don't get attached.
214,Avatar,GRACE,"It's not our world, Jake. And we can't stop what's coming. CUT TO:"
215,Avatar,JAKE,Iknimaya translates roughly as stairway to heaven. It's the test every young hunter has to pass.
216,Avatar,JAKE,We doin' this?
217,Avatar,JAKE,How will I know if he chooses me?
218,Avatar,JAKE,Outstanding.
219,Avatar,JAKE,Let's dance.
220,Avatar,JAKE,That's right! You're mine.
221,Avatar,JAKE,Heeeyyyaaaah!
222,Avatar,JAKE,Shut the hell up!!
223,Avatar,JAKE,Level out! Fly straight!
224,Avatar,JAKE,I may not be much of a horse guy. But I was born to do this.
225,Avatar,GRACE,"The Great Leonopteryx is the apex aerial predator. Not only rare, but the sightings tend not to get reported."
226,Avatar,JAKE,The People call it Toruk.
227,Avatar,JAKE,Last one you ever see.
228,Avatar,JAKE,That's it.
229,Avatar,GRACE,Vitraya Ramunong -- The Well of Souls. It's their most sacred place.
230,Avatar,GRACE,"Something big is going on in there, biologically. I'd die to get samples, but outsiders are strictly forbidden."
231,Avatar,JAKE,"Hey, guys. CUT TO:"
232,Avatar,JAKE,That's a long time.
233,Avatar,GRACE,Watch that stuff. It'll knock you into next week.
234,Avatar,JAKE,Sorry.
235,Avatar,JAKE,It's hard to put in words the deep connection the People have to the forest.
236,Avatar,JAKE,They see a network of energy that flows through all living things. They know that all energy is only borrowed--
237,Avatar,JAKE,-- and one day you have to give it back.
238,Avatar,JAKE,Hard to believe it's only been three months.
239,Avatar,JAKE,I can barely remember my old life. I'm not sure who I am anymore. CUT TO:
240,Avatar,JAKE,You called us back to report -- you want to hear it or not?
241,Avatar,GRACE,"Jake is making incredible progress, years worth in just a few months. But -- we need more time."
242,Avatar,GRACE,"Parker, it's their ancestral home. They've lived there since before human history began. You can spare them a few more weeks."
243,Avatar,JAKE,No. I can do this.
244,Avatar,JAKE,I've gotta finish this thing. There's one more test -- the Dream Hunt. It's the final stage of becoming a man. Then I'm one of them. They'll trust what I say...
245,Avatar,JAKE,... and I can negotiate the terms of their relocation.
246,Avatar,GRACE,"Jake, I can't allow this. You're just not strong enough."
247,Avatar,JAKE,It's the last door -- I'm going through it. You can help me or get out of the way.
248,Avatar,GRACE,Will you listen to me? Sometimes the Na'vi themselves die in these vision quests. The venom takes you to the edge of death.
249,Avatar,GRACE,No matter what you prove out there-- you are still in here. Right here.
250,Avatar,JAKE,I have to go all the way -- become one of THEM--
251,Avatar,GRACE,"Goddammit, Jake, you can never be one of them!"
252,Avatar,GRACE,Our life out there takes millions of dollars of machinery to sustain. You visit -- and you leave.
253,Avatar,GRACE,You can never truly be with her.
254,Avatar,JAKE,You know why I'm here? Because Quaritch sent me.
255,Avatar,JAKE,"That's right -- to embed with the Omaticaya. To find out how to screw them out of their home. By deceit or by force, he didn't care. And if it turned out to be force, then how best to do it."
256,Avatar,GRACE,"And what about now, Jake?"
257,Avatar,JAKE,I'm not that guy any more.
258,Avatar,GRACE,I know.
259,Avatar,JAKE,"But if I tell Quaritch the truth, he yanks me out -- I never see her again. And if I tell her the truth, the clan throws me out -- that's if they don't cut my heart out and show it to me."
260,Avatar,JAKE,"They don't even have a word for ""lie"" -- they had to learn it from us."
261,Avatar,GRACE,I know. I taught it to them.
262,Avatar,JAKE,Grace. I've gotta go. They're waiting.
263,Avatar,GRACE,Jake. You can't carry this burden much longer.
264,Avatar,JAKE,It's okay. Mo'at says an alien mind probably can't survive the Dream Hunt anyway.
265,Avatar,GRACE,Prep my link. I'm going in. CUT TO:
266,Avatar,JAKE,It's like -- a sound you feel.
267,Avatar,JAKE,I don't want Ninat.
268,Avatar,JAKE,I've already chosen. But this woman must also choose me.
269,Avatar,JAKE,"Neytiri, you know my real body is far away, sleeping."
270,Avatar,JAKE,We are?
271,Avatar,JAKE,"Really, we are?"
272,Avatar,JAKE,It's cool. I'm there.
273,Avatar,GRACE,Here -- eat this. I'd hate to have to force-feed a cripple.
274,Avatar,GRACE,She's not going anywhere.
275,Avatar,GRACE,"And when was the last time you took a shower? Jesus, Marine."
276,Avatar,JAKE,Hey! Heeeey! Stop! Stop!
277,Avatar,GRACE,Please -- this will only make it worse --
278,Avatar,JAKE,"Okay, listen. There's something I have to tell you. It's gonna be hard. I just need you to --"
279,Avatar,GRACE,Oh shit.
280,Avatar,GRACE,"Jake, don't --"
281,Avatar,JAKE,I accept. CUT TO:
282,Avatar,GRACE,What the hell are you doing?
283,Avatar,JAKE,It's the only way to get him to goddamn listen.
284,Avatar,JAKE,Are you out of your goddamn mind?!
285,Avatar,GRACE,"Parker, listen, there may still be time to --"
286,Avatar,GRACE,"Or what, Ranger Rick? You gonna shoot me? You need to muzzle your dog!"
287,Avatar,JAKE,You say you want to keep your people alive. Start by listening to her.
288,Avatar,GRACE,"This is bad, Parker. Those trees were sacred to the Omaticaya in a way you can't imagine."
289,Avatar,GRACE,I'm not talking about pagan voodoo here -- I'm talking about something real and measurable in the biology of the forest.
290,Avatar,GRACE,I can't do this. How am I supposed to reduce years of work to a sound bite for the illiterate?
291,Avatar,JAKE,Just tell him what you know in your heart.
292,Avatar,GRACE,"Alright, look -- I don't have the answers yet, I'm just now starting to even frame the questions. What we think we know -- is that there's some kind of electrochemical communication between the roots of the trees. Like the synapses between neurons. Each tree has ten to the fourth connections to the trees around it, and there are ten to the twelfth trees on Pandora --"
293,Avatar,GRACE,That's more connections than the human brain. You get it? It's a network -- a global network. And the Na'vi can access it -- they can upload and download data -- memories -- at sites like the one you destroyed.
294,Avatar,GRACE,"You need to wake up, Parker. The wealth of this world isn't in the ground -- it's all around us. The Na'vi know that, and they're fighting to defend it. If you want to share this world with them, you need to understand them."
295,Avatar,JAKE,They're not going to give up their home -- they're not gonna make a deal. For what? Lite beer and shopping channel? There's nothing we have that they want. We're a horror to them. We're the monsters from space.
296,Avatar,JAKE,They're never going to leave Hometree.
297,Avatar,GRACE,"Parker, we have to talk, like rational people."
298,Avatar,GRACE,"They bulldozed a sacred site on purpose, to trigger a response. They're fabricating this war to get what they want."
299,Avatar,JAKE,"Yup. That's how it's done. When people are sitting on shit you want, you make them your enemy. Then you're justified in taking it."
300,Avatar,JAKE,When?
301,Avatar,GRACE,My God.
302,Avatar,GRACE,"Parker, wait. Stop! These are people you're about to --"
303,Avatar,GRACE,"For God's sake, there are children in there. Babies!"
304,Avatar,JAKE,"Look Selfridge, you don't want this kind of blood on your hands. Let me try to talk them out. They trust me."
305,Avatar,JAKE,"Eytukan, I have something to say, to everyone."
306,Avatar,JAKE,A great evil is upon us. The Sky People are coming to destroy Hometree. They will be here soon.
307,Avatar,JAKE,"You have to leave, or you will die."
308,Avatar,JAKE,"They sent me here to learn your ways. So one day I could bring this message, and you would believe it."
309,Avatar,JAKE,"Yes. At first it was just orders. Then everything changed. I fell in love-- with the forest, with the Omaticaya People -- -- with you. And by then, how could I tell you?"
310,Avatar,JAKE,"Neytiri. Please, I only wanted to --"
311,Avatar,JAKE,"You have to get out of Hometree! Run to the forest! Please, I'm begging you!"
312,Avatar,JAKE,We've gotta move! He's gonna blow the columns.
313,Avatar,JAKE,Neytiri! Neytiri!
314,Avatar,JAKE,I'm sorry --
315,Avatar,JAKE,"I was a warrior who dreamed he could bring peace. Sooner or later though, you always have to wake up..."
316,Avatar,GRACE,They never wanted us to succeed.
317,Avatar,JAKE,Thanks.
318,Avatar,JAKE,So what do you say? Time for a revolution?
319,Avatar,GRACE,I'm free.
320,Avatar,JAKE,Come on. CUT TO:
321,Avatar,JAKE,Get your ship fired up.
322,Avatar,JAKE,Stay here. I need somebody on the inside I can trust.
323,Avatar,JAKE,"Take it nice and easy, troop."
324,Avatar,JAKE,"On the ground, face down. Hands behind your head."
325,Avatar,GRACE,Do what he goddamn says!
326,Avatar,JAKE,Go! Go! Go!
327,Avatar,JAKE,"Oh yeah, baby!"
328,Avatar,GRACE,"Aaahh, crap. Not again."
329,Avatar,GRACE,This is gonna ruin my whole day.
330,Avatar,JAKE,"Hang on, Grace. CUT TO:"
331,Avatar,JAKE,"It's strongest at the Well of Souls, right?"
332,Avatar,JAKE,"Good, `cause that's where we're going."
333,Avatar,JAKE,"I'm gonna get you some help, Grace."
334,Avatar,GRACE,"Forget it, it doesn't matter."
335,Avatar,JAKE,No! The People can help you. I know it. CUT TO:
336,Avatar,JAKE,The Well of Souls. The heart of the forest. I knew the People would go there.
337,Avatar,JAKE,"I've gotta try, Norm."
338,Avatar,JAKE,"Outcast. Betrayer. Alien. To ever face them again, I was gonna have to change the rules."
339,Avatar,JAKE,Sometimes your whole life boils down to one insane move.
340,Avatar,JAKE,"Come on, boy. Time to fly."
341,Avatar,JAKE,"The way I had it figured, Toruk is the baddest cat in the sky. Nothing attacks him. So why would he ever look up?"
342,Avatar,JAKE,But that was just a theory.
343,Avatar,JAKE,I See you.
344,Avatar,JAKE,"Tsu'tey of the Rongloa, son of Ateyo. I stand before you, ready to serve the People. You are Olo'eyctan, and you are the best warrior. I can't do this without you."
345,Avatar,JAKE,Ireiyo.
346,Avatar,JAKE,Grace is dying. I beg the help of the Great Mother.
347,Avatar,JAKE,"Look where we are, Grace."
348,Avatar,GRACE,I need to take some samples.
349,Avatar,JAKE,Is that possible?
350,Avatar,JAKE,"Hang on, they're gonna fix you up."
351,Avatar,GRACE,"I -- always held back. But you gave them your heart. I'm proud of you, Jake."
352,Avatar,GRACE,Help them. You do whatever it takes. You hear me?
353,Avatar,JAKE,I will.
354,Avatar,GRACE,I'm with her Jake -- -- she's real --
355,Avatar,JAKE,Grace!
356,Avatar,JAKE,"With your permission, I will Speak now. You would honor me by translating."
357,Avatar,JAKE,"The Sky People have sent a message that they can take whatever they want, and no one can stop them. But we will send them a message. Ride out, as fast as the wind can carry you, tell the other clans to come. Tell them Toruk Macto calls to them. Fly now with me brothers and sisters! Fly! And we will show the Sky People that this is our land!"
358,Avatar,JAKE,"We rode out to the four winds. To the horse clans of the plain, to the ikran people of the mountains. When Toruk Macto called them, they came."
359,Avatar,JAKE,Talk fast.
360,Avatar,JAKE,Can you talk to Selfridge? Maybe we can cut some kinda deal before this thing goes all the way.
361,Avatar,JAKE,When?
362,Avatar,JAKE,Thanks.
363,Avatar,JAKE,That's right. Because I gave it to him on a plate.
364,Avatar,JAKE,Then I guess we better stop him.
365,Avatar,JAKE,Gonna have to settle for coffee. CUT TO:
366,Avatar,JAKE,I was a warrior who dreamed he could bring peace. But there was only one thing I was ever really good at. Ooh-rah.
367,Avatar,JAKE,Strike here and here.
368,Avatar,JAKE,Yeah.
369,Avatar,JAKE,What's your point?
370,Avatar,JAKE,I've never done this in my life.
371,Avatar,JAKE,And I'm probably just talking to a tree right now. But if you're there -- I need to give you a heads up.
372,Avatar,JAKE,"If Grace is there with you -- look in her memories -- she can show you the world we come from. There's no green there. They killed their Mother, and they're gonna do the same thing here."
373,Avatar,JAKE,More Sky People are gonna come. They're gonna come like a rain that never ends --
374,Avatar,JAKE,-- until they've covered the world. Unless we stop them.
375,Avatar,JAKE,It was worth a try.
376,Avatar,JAKE,"We have to stop the shuttles, no matter what it takes."
377,Avatar,JAKE,What the hell -- ?
378,Avatar,JAKE,WHOO-HOOOO!
379,Avatar,JAKE,"Quaritch is gonna take out the Well of Souls! He's got a clear shot. Hit him, anybody that can! Do it now!"
380,Avatar,JAKE,It's all over Quaritch --
381,Avatar,JAKE,Kinda hoped you'd say that.
382,Avatar,JAKE,"I See you, Tsu'tey te Rongloa Ateyitan."
383,Avatar,JAKE,They're safe.
384,Avatar,JAKE,No. I'm not officer material.
385,Avatar,JAKE,I'm not killing you.
386,Avatar,JAKE,No.
387,Avatar,JAKE,"Forgive me, my Brother. Go now to the Mother Spirit."
388,Avatar,JAKE,A few chose to stay. Fewer were chosen.
389,Avatar,JAKE,"The forest will heal, and so will the hearts of the People. New life keeps the energy flowing, like the breath of the world."
390,Avatar,JAKE,This is my last videolog.
391,Avatar,JAKE,"The science guys will keep the lights on, here. But I won't miss this place."
392,Avatar,JAKE,"I better wrap this up. There's a funeral tonight, and I don't want to be late. It was someone very close to me."
393,Avengers-The-(2012),NICK FURY,How bad is it?
394,Avengers-The-(2012),NICK FURY,NASA didn't authorize Selvig to test phase.
395,Avengers-The-(2012),NICK FURY,What are the energy levels now?
396,Avengers-The-(2012),NICK FURY,How long to get everyone out?
397,Avengers-The-(2012),NICK FURY,Do better.
398,Avengers-The-(2012),NICK FURY,We should tell them to go back to sleep?
399,Avengers-The-(2012),NICK FURY,I need you to make sure that PHASE 2 prototypes are shipped out.
400,Avengers-The-(2012),NICK FURY,"Until such time as the world ends, we will act as though it intends to spin on. Clear out the tech below. Every piece of PHASE 2 on a truck and gone."
401,Avengers-The-(2012),NICK FURY,"Talk to me, doctor. DR. ERIK SELVIG emerges from behind the CMS machine, concerned. The Tesseract is glowing unusually brighter and flare rings shoot out at random."
402,Avengers-The-(2012),NICK FURY,Is there anything we know for certain?
403,Avengers-The-(2012),NICK FURY,Is that supposed to be funny?
404,Avengers-The-(2012),NICK FURY,How soon until you pull the plug?
405,Avengers-The-(2012),NICK FURY,"We've prepared for this, doctor. Harnessing energy from space."
406,Avengers-The-(2012),NICK FURY,That can be harmful. Where's Barton?
407,Avengers-The-(2012),NICK FURY,"Agent Barton, report. BARTON rappels down from the catwalk. Walks up to Fury. They both walk around the facility in a discreet manner."
408,Avengers-The-(2012),NICK FURY,I gave you this detail so you could keep a close eye on things.
409,Avengers-The-(2012),NICK FURY,Are you seeing anything that might set this thing off?
410,Avengers-The-(2012),NICK FURY,At this end?
